COUNT,AricleTile,ACTIONABLE,CATEGORY,IMPACT,EMPIRICAL EVIDENCE,CONFIDENCE,SOUND,PRECISE
1152,Data-Driven Evidence-Based Syntactic Sugar Design,Consider evaluating new syntactic sugars in user studies consisting of experienced programmers,Automated Testing and Quality Assurance,Improved understanding of the usability and effectiveness of proposed syntactic sugars,The article presents a user study consisting of 20 experienced Java programmers who evaluated seven potential new syntactic sugars for Java,0.9,YES,YES
361,Data-Driven Evidence-Based Syntactic Sugar Design,Consider using deterministic information-retrieval approaches to facilitate data-driven language design and evolution,Community Collaboration and Engagement,NONE,NONE,0.6,YES,NO
1317,Data-Driven Evidence-Based Syntactic Sugar Design,Consider removing irrelevant elements from the graph representation of source code to produce more efficient and fruitful results,Code Standards and Maintainability,This recommendation will help ensure that the programming language design and evolution process focuses on the most relevant and important aspects of the code,The authors have shown that generalizing a graph representation of source code can help identify common code idioms and recommend new syntactic sugars for Java,0.7,YES,YES
1319,Data-Driven Evidence-Based Syntactic Sugar Design,Use a deterministic information-retrieval approach to facilitate data-driven language design and evolution,Code Standards and Maintainability,This recommendation will help ensure that the programming language design and evolution process is based on empirical evidence rather than intuition or personal preference,The authors have used this approach to identify common code idioms and recommend new syntactic sugars for Java,0.9,YES,YES
1312,Data-Driven Evidence-Based Syntactic Sugar Design,Generalize control flow graphs (CFGs) to capture broad programming language usage patterns,Automated Testing and Quality Assurance,This recommendation will help identify common code idioms that can be used for data-driven programming language design and evolution,The authors have generalized 166-827-154 CFGs to capture the broad programming language usage patterns and found 241 total sugarable subgraphs,0.9,YES,YES
1320,Data-Driven Evidence-Based Syntactic Sugar Design,Consider using frequent subgraph mining to identify common code idioms in programming languages,Code Standards and Maintainability,This recommendation will help identify opportunities for data-driven programming language design and evolution in programming languages - Improved understanding of programming language usage patterns and potential opportunities for syntactic sugars,The authors have used this approach to identify common code idioms and recommend new syntactic sugars for Java-The article presents a methodology for generalizing CFGs to capture broad programming language usage patterns- which were then used to identify 241 sugarable subgraphs in Java,0.7,YES,YES
1316,Data-Driven Evidence-Based Syntactic Sugar Design,Consider implementing new Java syntactic sugars that simplify millions of common programming idioms- such as duplication- if-statements- nulls- and errors,Code Standards and Maintainability,This recommendation will help make Java code more concise- readable- and maintainable,The authors have manually evaluated the extracted subgraphs for opportunities to implement impactful syntactic sugars and found 7 potential new syntactic sugars for Java,0.9,YES,YES
1834,Data-driven extract method recommendations:a study at ING,Continuously monitor code quality metrics and use them as input for machine learning models to predict refactoring opportunities,Code Standards and Maintainability,Early detection of potential issues- improved code maintainability- and reduced technical debt,The study shows that class-level metrics can be used as features in machine learning models to improve their accuracy in predicting refactoring opportunities,0.6,YES,NO
1538,Data-driven extract method recommendations:a study at ING,Continuously evaluate the performance of machine learning models and improve them based on feedback from developers,New Contributor Onboarding and Involvement,Improved accuracy in predicting refactoring opportunities- increased developer trust in the tool- and reduced maintenance costs,The study demonstrates that continuous evaluation and improvement of machine learning models can help increase their accuracy in predicting refactoring opportunities,0.6,YES,NO
1554,Data-driven extract method recommendations:a study at ING,Use machine learning models to predict the likelihood of a developer applying a suggested refactoring,New Contributor Onboarding and Involvement,Improved accuracy in predicting which suggested refactorings are more likely to be applied- increased developer trust in the tool- and reduced maintenance costs,The study demonstrates that machine learning models can accurately predict the likelihood of a developer applying a suggested refactoring,0.4,YES,NO
1835,Data-driven extract method recommendations:a study at ING,Continuously monitor code quality metrics and use them to prioritize refactoring opportunities,Automated Testing and Quality Assurance,Improved code maintainability- reduced technical debt- and increased developer productivity,The study shows that class-level metrics can be used as features in machine learning models to improve their accuracy in predicting refactoring opportunities,0.3,YES,YES
1572,Data-driven extract method recommendations:a study at ING,Use a combination of heuristics and sound strategies to identify methods that need refactoring and those that do not,Security Best Practices and Legal Compliance,Improved code quality- maintainability- and understandability,The study demonstrates that using a combination of heuristics and sound strategies can help identify methods that need refactoring and those that do not,0.6,YES,YES
1573,Data-driven extract method recommendations:a study at ING,Use a combination of manual code reviews and machine learning models to identify potential refactoring opportunities,Automated Testing and Quality Assurance,Improved code quality- maintainability- and understandability,The study demonstrates that using a combination of manual code reviews and machine learning models can help identify potential refactoring opportunities,0.3,YES,YES
1855,Data-driven extract method recommendations:a study at ING,Use machine learning models to predict refactoring opportunities in your codebase,Code Standards and Maintainability,Improved code quality- maintainability- and understandability,The study shows that machine learning models can accurately predict future refactorings with an accuracy of 74% in unseen ING projects,0.9,YES,YES
1539,Data-driven extract method recommendations:a study at ING,Implement a tool to provide real-time feedback on code quality and suggest potential refactoring opportunities,New Contributor Onboarding and Involvement,Increased developer productivity- reduced maintenance costs- and improved software quality,The study demonstrates that developers are more likely to apply suggested refactorings when they receive real-time feedback during the development process,0.6,YES,YES
1840,Data-driven extract method recommendations:a study at ING,Provide developers with a user-friendly interface to view and apply suggested refactorings,CI/CD and DevOps Automation,Increased developer productivity- reduced maintenance costs- and improved software quality,The study shows that developers are more likely to apply suggested refactorings when they can easily view and apply them through a user-friendly interface,0.6,YES,YES
1841,Data-driven extract method recommendations:a study at ING,Provide developers with clear instructions on how to implement suggested refactorings,Documentation Practices,Increased developer productivity- reduced maintenance costs- and improved software quality,The study shows that developers are more likely to apply suggested refactorings when they receive clear instructions on how to implement them,0.6,YES,YES
1560,Decoupling level: a new metric for architectural maintenance complexity,Perform refactoring tasks to increase the decoupling level of software components when it is low- reducing maintenance complexity and improving maintainability,CI/CD and DevOps Automation,Improved maintainability and easier modification of software components,The study demonstrates that refactoring tasks can effectively improve the decoupling level- leading to better maintainability,0.85,YES,YES
1804,Decoupling level: a new metric for architectural maintenance complexity,Measure the decoupling level of software components to evaluate their maintainability. This can help developers and maintainers understand the system's structure- making it easier to modify and evolve,Code Standards and Maintainability,Improved maintainability and easier modification of software components,The study presents a method for measuring decoupling level and demonstrates its correlation with maintainability using real-world open-source projects,0.9,YES,YES
1839,Decoupling level: a new metric for architectural maintenance complexity,Consider decoupling level in design decisions,Code Standards and Maintainability,Incorporate decoupling level as a factor when making architectural and design decisions to minimize maintenance complexity and ensure long-term sustainability - Better maintainability- easier modification- and more sustainable software components,The study shows that decoupling level is correlated with maintainability- suggesting that considering it in design decisions can lead to better outcomes,0.8,YES,YES
1828,Decoupling level:a new metric for architectural maintenance complexity,Monitor decoupling level during development,Automated Testing and Quality Assurance,Keep track of the decoupling level throughout the software development process to ensure that it remains at an optimal level- reducing maintenance complexity - Easier maintenance and evolution of software components,The study shows a correlation between decoupling level and maintainability- suggesting that monitoring decoupling level can help manage maintenance complexity,0.85,YES,YES
1494,DeepCommenter a deep code comment generation tool with hybrid lexical and syntactical information,Utilize a hybrid lexical and syntactical information approach for code comment generation tasks,Automated Testing and Quality Assurance,Enhances the quality of generated comments by combining both lexical and structural information- leading to more accurate and user-friendly comments,The results demonstrate that the proposed model performs better than other approaches in generating comments with higher BLEU and METEOR scores,0.9,YES,NO
1238,DeepCommenter a deep code comment generation tool with hybrid lexical and syntactical information,Explore additional features of source code to make DeepCommenter more robust and effective,CI/CD and DevOps Automation,Enhances the tool's performance by incorporating more contextual information from the source code- leading to better-generated comments,The article suggests potential future work in this direction but does not provide concrete evidence of its implementation or impact,0.7,YES,YES
1871,DeepCommenter a deep code comment generation tool with hybrid lexical and syntactical information,Implement DeepCommenter as an IntelliJ IDEA plug-in for Java method comment generation,Automated Testing and Quality Assurance,Improves developer productivity by automatically generating comments- reducing manual effort and time spent on writing comments,The study shows that the proposed approach outperforms other methods in both Information Retrieval (IR) metrics and Machine Translation (MT) metrics,0.9,YES,YES
1006,DeepCommenter a deep code comment generation tool with hybrid lexical and syntactical information,Implement user interaction features to allow users to accept or reject generated comments,Automated Testing and Quality Assurance,Improves user experience and satisfaction by allowing developers to provide feedback on generated comments- further refining the tool's performance,The article mentions potential future work in this direction but does not provide concrete evidence of its implementation or impact,0.7,YES,YES
1239,DeepCommenter a deep code comment generation tool with hybrid lexical and syntactical information,Consider expanding DeepCommenter to support more programming languages- such as Python and C,CI/CD and DevOps Automation,Increases the tool's applicability and usefulness for developers working with various programming languages,The article suggests potential future work in this direction- indicating that the authors have considered expanding the tool's capabilities,0.8,YES,YES
91,DeepDev-PERF:a deep learning-based approach for improving software performance,Implement the suggested optimizations from DeepDev-PERF to improve performance,Code Standards and Maintainability,Automated performance analysis and optimization suggestions- saving developer time and effort,DeepDev-PERF provides optimization suggestions that significantly improve the performance of the analyzed code,0.8,YES,YES
64,DeepDev-PERF:a deep learning-based approach for improving software performance,Collaborate with developers to ensure that the suggested optimizations are implemented correctly and efficiently,Automated Testing and Quality Assurance,Collaborative efforts between developers and DeepDev-PERF- leading to better understanding and addressing of performance bottlenecks,Collaborative efforts between developers and DeepDev-PERF are shown to lead to better understanding and addressing of performance bottlenecks,0.8,YES,YES
1457,DeepDev-PERF:a deep learning-based approach for improving software performance,Integrate DeepDev-PERF into your continuous integration (CI) pipeline for automated performance analysis and optimization suggestions,CI/CD and DevOps Automation,Continuous monitoring of software performance- enabling early detection and resolution of performance issues,The integration of DeepDev-PERF into CI pipelines is demonstrated to be effective and efficient for continuous performance analysis and optimization,0.7,YES,YES
1348,DeepDev-PERF:a deep learning-based approach for improving software performance,Use DeepDev-PERF to identify bottlenecks in your code,CI/CD and DevOps Automation,Improved software performance- leading to faster execution times and reduced resource usage,The authors present a deep learning model that accurately identifies performance bottlenecks in open-source software projects (DeepDev-PERF,0.9,YES,YES
806,DeepDev-PERF:a deep learning-based approach for improving software performance,Monitor the performance of your software after implementing the suggested optimizations to evaluate their effectiveness,CI/CD and DevOps Automation,Regular evaluation of optimization effectiveness- ensuring sustained performance improvements over time,Regular evaluation of optimization effectiveness is discussed- emphasizing the importance of sustained performance improvements over time,0.9,YES,YES
669,DeepLV,Suggesting Log Levels Using Ordinal Based Neural Networks,Automated Testing and Quality Assurance,NONE,NONE,0.8,YES,YES
905,Deeply Reinforcing Android GUI Testing with Deep Reinforcement Learning,Utilize graph embedding techniques to model GUI states and actions for Android GUI testing,Automated Testing and Quality Assurance,Enhanced understanding of states and actions- enabling better identification of similar states or actions,The article demonstrates that DQT's use of graph embedding leads to superior performance compared to other approaches,0.9,YES,YES
1217,Deeply Reinforcing Android GUI Testing with Deep Reinforcement Learning,Implement a specially designed DQN (Deep Q-Network guided by a fine-grained dynamic reward function for Android GUI testing,Automated Testing and Quality Assurance,Improved state-action evaluation- facilitating testing knowledge sharing between states or actions,The article shows that DQT's DQN design and reward function contribute to its superior performance compared to other methods,0.9,YES,YES
170,Deeply Reinforcing Android GUI Testing with Deep Reinforcement Learning,Use DQT (Deep Q-Testing) to perform automated Android GUI testing,Automated Testing and Quality Assurance,Improved test coverage- faster test generation- and better performance compared to existing state-of-the-art approaches,Experimental results presented in the article show that DQT outperforms other methods in terms of test coverage- execution time- and number of crashes detected,0.9,YES,YES
41,Deeply Reinforcing Android GUI Testing with Deep Reinforcement Learning,Model a state as a graph to exploit a better understanding of states and actions in Android GUI testing,Automated Testing and Quality Assurance,Modeling a state as a graph allows for a more comprehensive understanding of states and actions- which can improve the overall testing process in Android GUI testing,By modeling states as graphs- the authors were able to better understand state and action relationships- which led to improved testing results in Android GUI testing,0.95,YES,YES
1518,Design rule spaces: a new form of architecture insight,Use multi-layered overlapping DRSpaces to analyze software architecture- as each DRSpace exhibits meaningful and useful modular structures that promote and support diﬀerent kinds of analysis,Security Best Practices and Legal Compliance,Enhanced understanding of the software architecture- leading to better maintenance and evolution,The study demonstrated that by viewing diﬀerent DRSpaces of the same architecture- formed and complemented by diﬀerent types of relations- it was possible to identify a large number of structural and evolutionary problems that may contribute to the root cause of bugginess,0.85,YES,YES
1652,Design rule spaces: a new form of architecture insight,Analyze software architecture using design rule spaces (DRSpaces) to identify error-prone files and structural problems,Code Standards and Maintainability,Improved code quality- reduced bugginess- and increased maintainability,The study found that error-prone ﬁles usually lead error-prone DRSpaces in which most of the ﬁles are also error-prone. A few error-prone DRSpaces can capture a large portion of the project's error-prone files,0.9,YES,YES
1171,Design rule spaces: a new form of architecture insight,Adopt design structure matrices (DSMs) as a representation for DRSpaces- allowing for better visualization and analysis of software architecture,Documentation Practices,Improved comprehension of the software architecture- enabling more informed decision-making during maintenance and evolution,The article presents DSMs as an effective way to represent and analyze DRSpaces- but it does not provide direct evidence of their impact on open-source projects. However- DSMs have been widely used in various domains for architecture analysis and are well-established as a valuable tool,0.75,YES,YES
305,Designing bug detection rules for fewer false alarms,Analyze the detected bugs and classify them into known and unknown categories.,Automated Testing and Quality Assurance,NONE,NONE,0.8,YES,YES
313,Designing bug detection rules for fewer false alarms,Apply the refined detection rules to open-source projects to detect bugs.,Security Best Practices and Legal Compliance,NONE,NONE,0.8,YES,YES
364,Designing bug detection rules for fewer false alarms,Continuously improve the bug detection rules based on feedback from developers.,Automated Testing and Quality Assurance,NONE,NONE,0.8,YES,YES
509,Designing bug detection rules for fewer false alarms,Identify bug patterns by analyzing false s from existing bug detection tools.,Automated Testing and Quality Assurance,NONE,NONE,0.8,YES,YES
631,Designing bug detection rules for fewer false alarms,Refine the detection rules based on the identified bug patterns.,Community Collaboration and Engagement,NONE,NONE,0.8,YES,YES
637,Designing bug detection rules for fewer false alarms,Report the new bugs to issue tracking systems and wait for developer confirmation.,Automated Testing and Quality Assurance,NONE,NONE,0.8,YES,YES
1164,Detecting and preventing the architectural roots of bugs,Treat buggy files as architecturally connected groups instead of single files,Community Collaboration and Engagement,Addressing multiple bugs at once by treating buggy files as groups can reduce maintenance costs and time,The article presents case studies and empirical evidence of addressing architectural roots leading to multiple bug fixes in open-source projects like Hadoop and Apache Commons,0.85,YES,YES
40,Detecting and preventing the architectural roots of bugs,Examine the architecture issues within each root and fix these- rather than attempting to fix a bug in isolation,Code Standards and Maintainability,Fixing architecture issues within each root can prevent future bugs related to the same issue- improving software sustainability and maintainability,By identifying and fixing architecture issues- the study found that maintenance costs were reduced- and software sustainability was improved,0.9,YES,YES
998,Detecting differences across multiple instances of code clone,Explore applications of semantic clone detection techniques to support software maintenance tasks,Automated Testing and Quality Assurance,Enhanced code quality- easier identification of bugs and security vulnerabilities- and improved collaboration among developers,The article highlights the potential benefits of applying these techniques but does not provide direct empirical evidence in the study,0.7,YES,YES
1250,Detecting differences across multiple instances of code clone,Implement an intraprocedural analysis framework to generate Program Dependence Graphs (PDGs) more quickly and for other languages,CI/CD and DevOps Automation,Faster detection of clones- enabling developers to address maintainability issues more efficiently,The article suggests that this technique can help improve the speed and language compatibility of clone detection. However- there is no direct empirical evidence provided in the study,0.6,YES,YES
1568,Detecting differences across multiple instances of code clone,Utilize semantic clone detection techniques to identify and analyze similar code fragments in large-scale software projects,Automated Testing and Quality Assurance,Improved maintainability- easier identification of bugs- and facilitated code refactoring,The study demonstrates that the proposed technique can detect more clones than previous syntax-only techniques and produce interesting sets of semantically similar code fragments,0.9,YES,NO
781,Detecting incorrect build rules,Use Perceval to extract software project data from various sources (e.g.- versioning systems- bug tracking systems- mailing lists archives) in JSON format,Security Best Practices and Legal Compliance,Enables researchers and practitioners to analyze software project activities easily,Perceval is used in Bitergia to collect data from more than 30-000 development support tools- including Git (19-671)- GitHub (4-496)- and Bugzilla (2-229),0.9,YES,YES
780,Detecting incorrect build rules,Integrate Perceval with other tools to perform analysis and/or visualization of the extracted data,New Contributor Onboarding and Involvement,Increases trust and transparency in open-source projects by offering an easy way to inspect project data,Perceval is used in academia and industry to analyze software project activities,0.95,YES,YES
397,Detecting incorrect build rules,Developers should avoid writing custom build rules that rely on non-deterministic behavior- which can lead to issues in parallel builds,Documentation Practices,NONE,NONE,0.7,YES,YES
405,Detecting incorrect build rules,Developers should consider using alternative build systems that provide better support for handling concurrent builds and avoiding race conditions,CI/CD and DevOps Automation,NONE,NONE,0.6,YES,NO
416,Detecting incorrect build rules,Developers should use build fuzzing to test the correctness of their build deﬁnitions by ﬁnding missing dependencies and race conditions,Automated Testing and Quality Assurance,NONE,NONE,0.5,YES,YES
417,Detecting incorrect build rules,Developers should use dynamic taint analysis or other ﬁner-grained instrumentation techniques to improve dependency graph accuracy for Java builds and single-process builds,Automated Testing and Quality Assurance,NONE,NONE,0.6,YES,YES
616,Detecting incorrect build rules,Project maintainers should ensure that their projects' build deﬁnitions are up-to-date and accurately reﬂect the dependencies between targets,Project Management and Governance,NONE,NONE,0.8,YES,YES
415,Detecting incorrect build rules,Developers should use build fuzzing to test the correctness of their build deﬁnitions by ﬁnding missing dependencies and race conditions,Automated Testing and Quality Assurance,Project maintainers should address the issues found in their projects- such as missing dependencies or race conditions- to save developer time and resources,NONE,0.4,YES,YES
187,Detecting incorrect build rules,Utilize the GrimoireLab toolset for automatic data enrichment and visualization of gathered data,Documentation Practices,Provides a transparent process for data analysis- allowing users to examine output and make changes quickly,GrimoireLab toolset provides an open-source platform for automatic data enrichment and visualization,0.9,YES,YES
729,Detecting Node.js prototype pollution vulnerabilities via object lookup analysis,Use the proposed Object Property Graph (OPG,Automated Testing and Quality Assurance,to capture the interplays of JavaScript objects via abstract interpretation,NONE,0.2,YES,YES
1106,Detecting Node.js prototype pollution vulnerabilities via object lookup analysis,Use the proposed framework- called ObjLupAnsys,Automated Testing and Quality Assurance,to facilitate object lookup analysis and detect prototype pollution vulnerabilities,The article presents a case study using ObjLupAnsys to detect prototype pollution vulnerabilities in Node.js applications and packages,0.8,YES,YES
1950,Detection and repair of architectural inconsistencies in Java,Improved software development experience by providing architectural visualization and integration with Java Integrated Development Environments (IDE,Code Standards and Maintainability,Although not explicitly mentioned in the article- DARCY's potential to provide architectural visualization and IDE integration can help developers avoid architectural inconsistencies during the development process,While the evidence is indirect- it is based on the authors' intention to expand DARCY in these directions- which suggests that such features could lead to a better software development experience,0.8,YES,YES
1428,Detection and repair of architectural inconsistencies in Java,Enhanced security and maintainability of Java-9 applications by detecting and repairing architectural inconsistencies,Automated Testing and Quality Assurance,The article highlights the pervasive existence of architectural inconsistencies among open-source Java-9 applications- which can lead to security vulnerabilities and maintenance issues. DARCY's automatic detection and repair capabilities address these inconsistencies- improving the overall security and maintainability of Java-9 applications,The evidence is based on the authors' evaluation of DARCY- which demonstrates its effectiveness in detecting and repairing architectural inconsistencies in Java-9 applications,0.8,YES,YES
1435,Detection and repair of architectural inconsistencies in Java,Reduction of attack surface- enhancement of encapsulation- and reduction of memory usage for Java-9 applications,Documentation Practices,The evaluation results in the article show that DARCY's automatic repair significantly reduces the attack surface- enhances encapsulation- and decreases memory usage for Java-9 applications,The evidence provided in the article is based on a thorough evaluation of open-source Java-9 applications- which supports the claim that DARCY's automatic repair leads to  impacts,0.9,YES,YES
306,DiagDroid,Android performance diagnosis via anatomizing asynchronous executions,Security Best Practices and Legal Compliance,NONE,NONE,0.8,YES,NO
43,Dictionary learning based software defect prediction,Developers should write more expressive contracts (e.g.- preconditions and postconditions) to support existing use cases,Project Management and Governance,Improving code quality and maintainability in open-source software projects,Case studies by Nimmer & Ernst (2013) and Polikarpova et al. (2016,0.9,YES,YES
275,Dictionary learning based software defect prediction,Developers should adopt best practices for writing contract specifications- such as using design patterns,Security Best Practices and Legal Compliance,Improving code quality and maintainability in open-source software projects,Nimmer & Ernst (2013) and Polikarpova et al. (2016,0.8,YES,YES
274,Dictionary learning based software defect prediction,Contract language and tool developers should introduce design patterns for contract specifications,Project Management and Governance,Providing clear guidance to developers on how to write effective contracts- reducing the learning curve and increasing consistency across projects,Nimmer & Ernst (2013) and Polikarpova et al. (2016,0.8,YES,YES
276,Dictionary learning based software defect prediction,Tool developers should create tools that reduce annotation burden and suggest contracts to aid developers in capturing more expressive contracts,Community Collaboration and Engagement,Saving developer time and effort while encouraging better contract usage,Nimmer & Ernst (2013) and Polikarpova et al. (2016,0.7,YES,YES
686,Did you miss my comment or what?,understanding toxicity in open source discussions,New Contributor Onboarding and Involvement,NONE,NONE,0.8,NO,NO
444,Disseminating architectural knowledge on open-source projects: a case study of the book architecture of open-source applications,Encourage the use of informal UML diagrams for capturing architectural ideas and concepts,Project Management and Governance,NONE,NONE,0.9,YES,YES
67,Diversity-driven automated formal verification,Combine Diva with CoqHammer for even better results in proving theorems in Coq projects,Community Collaboration and Engagement,Combining Diva with CoqHammer results in proving even more theorems- further enhancing the reliability of the formalization,Combining Diva with CoqHammer results in proving more theorems than using either tool alone- as demonstrated in their evaluation,0.9,YES,YES
1462,Diversity-driven automated formal verification,Utilize Diva's model interrupt feature to improve its running time by 401515,Community Collaboration and Engagement,Faster running times allow Diva to be used more efficiently- saving time and resources for developers,The model interrupt feature reduces Diva's running time by 40x- as shown in their experiments,0.9,YES,YES
112,Diversity-driven automated formal verification,Use Diva- a diversity-driven automated formal verification tool- to prove theorems in Coq projects,Security Best Practices and Legal Compliance,Proving more theorems in Coq projects leads to a more robust and reliable formalization- increasing trust in the system,Diva proves 68% more theorems than TacTok and 77% more than ASTactic- two state-of-the-art proof-script-synthesis tools. It automatically proves 364 theorems no existing tool has proved. Together with CoqHammer- Diva proves more than a third of all the theorems in a benchmark of 122 open-source projects- the largest fraction to date,0.9,YES,YES
1376,DLInfer:Deep Learning with Static Slicing for Python Type Inference,Utilize large-scale data sets to train deep learning models for type inference,Automated Testing and Quality Assurance,Enhances the accuracy and efﬁciency of type annotations- reducing workload for developers and maintainers,The authors show that using a large-scale dataset significantly improves the performance of DLInfer compared to other tools,0.85,YES,YES
1274,DLInfer:Deep Learning with Static Slicing for Python Type Inference,Combine static slicing with deep learning for type inference,Security Best Practices and Legal Compliance,Improves accuracy and efﬁciency of type annotations by leveraging program slice features,The authors demonstrate that DLInfer- which combines static slicing and deep learning- outperforms existing tools,0.85,YES,YES
1273,DLInfer:Deep Learning with Static Slicing for Python Type Inference,Use DLInfer to infer types in Python programs,Automated Testing and Quality Assurance,Improves code readability- understandability- maintainability- and enables static checking,The authors demonstrate that DLInfer outperforms existing type inference tools for Python,0.9,YES,YES
1370,DLInfer:Deep Learning with Static Slicing for Python Type Inference,Apply natural language processing techniques to infer types in Python programs,Automated Testing and Quality Assurance,Improves the accuracy of type annotations by incorporating contextual information from comments and docstrings,The authors show that combining natural language properties with programming language-level information enhances type inference performance,0.8,YES,YES
1893,Do Code Refactorings Influence the Merge Effort?,Monitor the size and content of commits- especially those containing refactorings- to reduce the likelihood of merge conﬂicts and increase the chances of successful integration,Documentation Practices,Improved code quality and reduced merge effort,The study suggests that larger commits may increase the chances of merge conflicts- but it does not provide direct evidence linking commit size to refactorings or merge effort,0.4,YES,YES
1894,Do Code Refactorings Influence the Merge Effort?,Consider synchronizing branches before applying refactorings that are likely to be incompatible with changes made in parallel,Code Standards and Maintainability,Improved code quality and reduced merge effort,The study suggests that some types of refactorings may be more or less compatible with others- but it does not provide specific examples. Further research is needed to identify which refactorings are more likely to cause conflicts,0.5,YES,NO
1725,Do Code Refactorings Influence the Merge Effort?,Minimize the number of refactorings implemented in parallel in both branches before merging,Automated Testing and Quality Assurance,Reduced merge effort and faster integration of changes,The study found that refactorings co-occurring in both branches tend to increase the chances of having effort- as well as the intensity of it,0.7,YES,YES
441,Do I Belong? Modeling Sense of Virtual Community Among Linux Kernel Contributors,Encourage social and hedonic motives to foster a sense of virtual community among Linux Kernel contributors,Documentation Practices,Authors found evidence that a subset of intrinsic motivations (social and hedonic motives) are ly associated with SVC,NONE,0.9,YES,YES
436,Do I Belong? Modeling Sense of Virtual Community Among Linux Kernel Contributors,Encourage English proficiency among Linux Kernel contributors- especially for those who identify as part of a gender minority (non-men,Documentation Practices,Contributors who identify as part of a gender minority (non-men)- tend to feel less of a sense of virtual community. and Those with higher English conﬁdence feel a higher sense of belonging in the community,NONE,0.7,YES,YES
327,Do I Belong? Modeling Sense of Virtual Community Among Linux Kernel Contributors,Be aware that power distance and financial compensation can negatively impact a contributor's sense of virtual community,Project Management and Governance,However- other extrinsic factors such as the country’s culture and being paid to contribute can lessen SVC among contributors,NONE,0.8,YES,YES
352,Do I Belong? Modeling Sense of Virtual Community Among Linux Kernel Contributors,Consider implementing interventions to create an inclusive- welcoming community for different subgroups of contributors,Community Collaboration and Engagement,This suggests that a 'one size ﬁts all' approach would not work when designing interventions to create an inclusive- welcoming community,NONE,0.8,YES,YES
88,Do I Belong? Modeling Sense of Virtual Community Among Linux Kernel Contributors,Recognize and address the unique challenges faced by contributors from non-English speaking countries and gender minorities in Linux Kernel projects,Community Collaboration and Engagement,to foster a more inclusive sense of virtual community,Contributors who identify as part of a gender minority (non-men)- tend to feel less of a sense of virtual community,0.6,YES,YES
6,Do programmers work at night or during the weekend?,Establish a culture of taking breaks and discouraging overwork to prevent burnout and maintain long-term sustainability in open-source software projects,Community Collaboration and Engagement,Improved mental health- reduced burnout- and increased project longevity,A study found that developers who took regular breaks and avoided overworking had higher levels of job satisfaction and lower stress levels than those who worked long hours without breaks,0.8,YES,YES
15,Do programmers work at night or during the weekend?,Implement asynchronous communication to reduce interruptions during focused work hours and allow for more efficient collaboration,Code Standards and Maintainability,Improved productivity- reduced context-switching- and better team communication,A survey found that developers who used asynchronous communication were more productive and experienced fewer interruptions than those who relied on synchronous communication methods,0.7,YES,YES
7,Do programmers work at night or during the weekend?,Encourage flexible working hours and remote work to accommodate individual p and improve work-life balance,Community Collaboration and Engagement,Increased job satisfaction- reduced stress- and better work-life balance,A study found that developers who worked remotely had higher job satisfaction and lower stress levels than those who worked in an office environment,0.8,YES,YES
8,Do programmers work at night or during the weekend?,Provide clear documentation and guidelines for contributing to open-source projects- making it easier for newcomers to get started and contribute effectively,New Contributor Onboarding and Involvement,Increased participation from new contributors- improved code quality- and a more diverse community,A study found that well-documented projects with clear contribution guidelines received more contributions and had higher-quality code than those without such documentation,0.9,YES,YES
14,Do programmers work at night or during the weekend?,Encourage knowledge sharing and mentoring within development teams to foster a learning culture and promote continuous improvement,New Contributor Onboarding and Involvement,Increased skill levels- better collaboration- and improved project outcomes,A survey found that developers who participated in knowledge-sharing activities and received mentoring were more productive and had higher job satisfaction than those who did not,0.7,YES,YES
888,Domain-independent interprocedural program analysis using block-abstraction memoization,Use CPAchecker as the configurable program analysis framework for your open-source software project,Code Standards and Maintainability,Access to various domain-independent intraprocedural analyses based on the CPA concept- which can be combined with BAM Interprocedural for interprocedural analysis,The article demonstrates how CPAchecker is used as the foundation for implementing and evaluating BAM Interprocedural,0.9,YES,YES
1252,Domain-independent interprocedural program analysis using block-abstraction memoization,Consider specifying the operator rebuild for further domains like binary decision diagrams- symbolic memory graphs- or octagons in your open-source software project's program analysis,Automated Testing and Quality Assurance,Improved interprocedural analysis of more difficult memory-accesses in recursive programs,The article suggests this as a potential optimization for future work,0.6,YES,NO
1148,Domain-independent interprocedural program analysis using block-abstraction memoization,Implement BAM Interprocedural for your open-source software project's existing intraprocedural data-flow analysis,Automated Testing and Quality Assurance,Improved interprocedural program analysis- supporting recursive procedures and multiple abstract domains without significant development work or performance overhead,The article presents a detailed implementation of BAM Interprocedural for predicate analysis and value analysis- demonstrating its effectiveness on the SV-COMP '20 benchmark set,0.9,YES,YES
1112,Domain-Specific Fixes for Flaky Tests with Wrong Assumptions on Underdetermined Specifications,Implement domain-specific fixes for flaky tests with wrong assumptions on underdetermined specifications,Automated Testing and Quality Assurance,Applying these fixes can help eliminate the root cause of flakiness- reducing false negatives and improving the overall reliability of the test suite,The article presents a case study where domain-specific fixes were applied to 14 flaky tests in three open-source projects- resulting in a success rate of 86%,0.6,YES,YES
1089,Domain-Specific Fixes for Flaky Tests with Wrong Assumptions on Underdetermined Specifications,Consider using automated tools to detect and fix flaky tests in your project,Documentation Practices,Automated tools can help save time and resources- allowing developers to focus on other aspects of software development while maintaining a reliable test suite,The article mentions the use of an automated tool called FlakeFlagger but does not provide specific empirical evidence for this recommendation,0.2,YES,YES
